id,behavior
0,MB_NORMAL
1,MB_NORMAL
2,MB_ROCK_STAIRS
3,MB_ROCK_STAIRS
4,MB_ROCK_STAIRS
5,MB_NORMAL
6,MB_NORMAL
7,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
8,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_TOP
9,MB_NORMAL
10,MB_NORMAL
11,MB_NORMAL
12,MB_NORMAL
13,MB_NORMAL
14,MB_NORMAL
15,MB_SIDEWAYS_STAIRS_LEFT_SIDE
16,MB_SIDEWAYS_STAIRS_RIGHT_SIDE
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_NORMAL
22,MB_NORMAL
23,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
24,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_NORMAL
32,MB_SIDEWAYS_STAIRS_RIGHT_SIDE_BOTTOM
33,MB_ROCK_STAIRS
34,MB_ROCK_STAIRS
35,MB_ROCK_STAIRS
36,MB_ROCK_STAIRS
37,MB_ROCK_STAIRS
38,MB_NORMAL
39,MB_NORMAL
40,MB_NORMAL
41,MB_NORMAL
42,MB_NORMAL
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_NORMAL
49,MB_NORMAL
50,MB_NORMAL
51,MB_NORMAL
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_NORMAL
57,MB_NORMAL
58,MB_NORMAL
59,MB_NORMAL
60,MB_NORMAL
61,MB_NORMAL
62,MB_NORMAL
63,MB_NORMAL
64,MB_NORMAL
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_NON_ANIMATED_DOOR
70,MB_NORMAL
71,MB_NORMAL
72,MB_NORMAL
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_NORMAL
78,MB_NORMAL
79,MB_NORMAL
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
83,MB_NORMAL
84,MB_NORMAL
85,MB_NORMAL
86,MB_NORMAL
87,MB_NORMAL
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_NORMAL
93,MB_NORMAL
94,MB_NORMAL
95,MB_NORMAL
96,MB_NORMAL
97,MB_NORMAL
98,MB_NORMAL
99,MB_NORMAL
100,MB_NORMAL
101,MB_NORMAL
102,MB_NORMAL
103,MB_NORMAL
104,MB_NORMAL
105,MB_NORMAL
106,MB_NORMAL
107,MB_NORMAL
108,MB_NORMAL
109,MB_NORMAL
110,MB_NORMAL
111,MB_NORMAL
112,MB_NORMAL
113,MB_NORMAL
114,MB_NORMAL
115,MB_NORMAL
116,MB_NORMAL
117,MB_NORMAL
118,MB_NORMAL
119,MB_NORMAL
120,MB_NORMAL
121,MB_NORMAL
122,MB_NORMAL
123,MB_NORMAL
124,MB_NORMAL
125,MB_NORMAL
126,MB_NORMAL
127,MB_NORMAL
128,MB_NORMAL
129,MB_NORMAL
130,MB_NORMAL
131,MB_NORMAL
132,MB_NORMAL
133,MB_NORMAL
134,MB_NORMAL
135,MB_NORMAL
136,MB_NORMAL
137,MB_NORMAL
138,MB_NORMAL
139,MB_NORMAL
140,MB_NORMAL
141,MB_NORMAL
142,MB_NORMAL
143,MB_NORMAL
144,MB_NORMAL
145,MB_NORMAL
146,MB_NORMAL
147,MB_NORMAL
148,MB_NORMAL
149,MB_NORMAL
150,MB_NORMAL
151,MB_NORMAL
152,MB_NORMAL
153,MB_NORMAL
154,MB_NORMAL
155,MB_NORMAL
156,MB_NORMAL
157,MB_NORMAL
158,MB_NORMAL
159,MB_NORMAL
160,MB_NORMAL
161,MB_NORMAL
162,MB_NORMAL
163,MB_NORMAL
164,MB_NORMAL
165,MB_NORMAL
166,MB_NORMAL
167,MB_NORMAL
168,MB_NORMAL
169,MB_NORMAL
170,MB_NORMAL
171,MB_NORMAL
172,MB_NORMAL
173,MB_NORMAL
174,MB_NORMAL
175,MB_NORMAL
176,MB_NORMAL
177,MB_NORMAL
178,MB_NORMAL
179,MB_NORMAL
180,MB_NORMAL
181,MB_NORMAL
182,MB_NORMAL
183,MB_NORMAL
184,MB_NORMAL
185,MB_NORMAL
186,MB_NORMAL
187,MB_NORMAL
188,MB_NORMAL
189,MB_NORMAL
190,MB_NORMAL
191,MB_NORMAL
192,MB_NORMAL
193,MB_NORMAL
194,MB_NORMAL
195,MB_NORMAL
196,MB_NORMAL
197,MB_NORMAL
198,MB_NORMAL
199,MB_NORMAL
200,MB_NORMAL
201,MB_NORMAL
202,MB_NORMAL
203,MB_NORMAL
204,MB_NORMAL
205,MB_NORMAL
206,MB_NORMAL
207,MB_NORMAL
208,MB_NORMAL
209,MB_NORMAL
210,MB_NORMAL
211,MB_NORMAL
212,MB_NORMAL
213,MB_NORMAL
214,MB_NORMAL
215,MB_NORMAL
216,MB_NORMAL
217,MB_NORMAL
218,MB_NORMAL
219,MB_NORMAL
220,MB_NORMAL
221,MB_NORMAL
222,MB_NORMAL
223,MB_NORMAL
224,MB_NORMAL
225,MB_NORMAL
226,MB_NORMAL
227,MB_NORMAL
228,MB_NORMAL
229,MB_NORMAL
230,MB_NORMAL
231,MB_NORMAL
232,MB_NORMAL
233,MB_NORMAL
234,MB_NORMAL
235,MB_NORMAL
236,MB_NORMAL
237,MB_NORMAL
238,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
239,MB_NORMAL
240,MB_NORMAL
241,MB_NORMAL
242,MB_ANIMATED_DOOR
243,MB_NORMAL
244,MB_NORMAL
245,MB_NORMAL
246,MB_SIDEWAYS_STAIRS_LEFT_SIDE
247,MB_NORMAL
248,MB_NORMAL
249,MB_NORMAL
250,MB_NORMAL
251,MB_NORMAL
252,MB_NORMAL
253,MB_NORMAL
254,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
255,MB_NORMAL
